Date,Open,High,Low,Close,Volume,Adj Close
2014-1-2,11075,11090,11010,11090,319286,11050
2014-1-3,11016,11082,10977,11067,516152,11037
2014-1-6,11044,11080,10995,11044,474440,11040
2014-1-7,11043,11044,10897,10927,602746,10938
2014-1-8,10931,10960,10851,10929,475538,10910
2014-1-9,10900,11344,10875,11098,904982,11074
2014-1-10,11079,11105,10925,10945,561224,11000
2014-1-13,10952,10970,10831,10836,520644,10900
2014-1-14,10825,10970,10815,10969,567558,10885
2014-1-15,10962,11017,10918,11002,400196,10958
2014-1-16,11020,11055,10981,11011,350906,11015
2014-1-17,11004,11047,10917,11025,379992,10972
2014-1-20,11007,11101,10997,11063,361820,11046
2014-1-21,11067,11083,10907,10922,436548,10971
2014-1-22,10923,10951,10851,10910,429044,10895
2014-1-23,10929,10971,10899,10970,284176,10935
2014-1-24,10955,10999,10925,10930,282572,10959
2014-1-27,10905,10945,10869,10944,220746,10904
2014-1-28,10914,10971,10902,10951,278082,10944
2014-1-29,10961,11013,10939,11013,182894,10973
2014-1-30,11001,11033,10899,10921,180202,10949
2014-2-7,10935,10974,10888,10905,179476,10928
2014-2-10,10932,10941,10765,10808,574840,10824
2014-2-11,10792,10822,10694,10708,422072,10747
2014-2-12,10738,10776,10704,10739,316818,10738
2014-2-13,10708,10744,10660,10675,345640,10685
2014-2-14,10667,10672,10604,10609,302486,10634
2014-2-17,10576,10745,10559,10628,465424,10641
2014-2-18,10627,10640,10469,10486,454068,10530
2014-2-19,10540,10580,10474,10560,423724,10526
2014-2-20,10581,10668,10572,10667,555354,10622
2014-2-21,10679,10738,10634,10695,503242,10688
2014-2-24,10696,10728,10590,10723,578240,10651
2014-2-25,10711,10803,10687,10753,511496,10738
2014-2-26,10744,10786,10683,10724,408970,10717
2014-2-27,10718,10755,10652,10754,377282,10704
2014-2-28,10773,10779,10683,10701,331074,10721
2014-3-3,10730,10754,10587,10594,454974,10651
2014-3-4,10584,10619,10534,10611,331292,10582
2014-3-5,10641,10678,10550,10562,436242,10598
2014-3-6,10505,10505,10372,10402,515126,10421
2014-3-7,10394,10430,10323,10402,478834,10380
2014-3-10,10215,10308,10063,10199,901164,10163
2014-3-11,10172,10391,10123,10279,686362,10251
2014-3-12,10180,10338,10146,10325,656874,10220
2014-3-13,10304,10356,10268,10318,400784,10316
2014-3-14,10297,10371,10218,10345,862476,10301
2014-3-17,10351,10382,10284,10361,447008,10337
2014-3-18,10343,10531,10329,10527,598578,10430
2014-3-19,10539,10547,10356,10357,522822,10442
2014-3-20,10371,10392,10310,10380,415710,10355
2014-3-21,10374,10427,10317,10406,488204,10372
2014-3-24,10409,10616,10393,10561,471660,10476
2014-3-25,10553,10687,10517,10647,615700,10605
2014-3-26,10641,10742,10598,10736,510328,10681
2014-3-27,10721,10721,10628,10677,439646,10667
2014-3-28,10685,10784,10641,10769,401724,10710
2014-3-31,10789,10802,10730,10747,331268,10765
2014-4-1,10731,10883,10683,10877,478394,10794
2014-4-2,10868,10900,10823,10849,398046,10854
2014-4-3,10826,10939,10792,10924,493560,10869
2014-4-4,10933,11008,10918,10997,332830,10964
2014-4-8,10977,10991,10862,10908,311342,10907
2014-4-9,10914,10945,10826,10910,368946,10880
2014-4-10,10911,10950,10797,10803,366468,10876
2014-4-11,10836,10882,10802,10857,277156,10846
2014-4-14,10839,10967,10804,10910,426428,10903
2014-4-15,10893,10992,10856,10942,360320,10927
2014-4-16,10920,10957,10891,10917,255548,10922
2014-4-17,10914,11027,10889,10988,444128,10968
2014-4-18,10958,11030,10908,11016,467004,10966
2014-4-21,10999,11038,10940,11009,434172,10993
