DATE,222WT-TIANJIN,7042ZH-YUYAO,7042GZ-GUANGZHOU,7042MM-GUANGZHOU,7042FJ-FUJIAN 
2014-1-2,11850,12050,12300,12250,12300
2014-1-6,11900,12050,12200,12150,12250
2014-1-7,11900,12000,12050,12000,12050
2014-1-8,11850,12000,12050,12000,12050
2014-1-9,11850,12000,12030,12000,12000
2014-1-10,11850,12000,11950,11900,12000
2014-1-14,11800,11900,11850,11800,11850
2014-1-15,11800,11900,11800,11750,11800
2014-1-16,11750,11900,11750,11700,11700
2014-1-17,11750,11900,11650,11550,11600
2014-1-20,11750,11800,11600,11550,11600
2014-1-21,11650,11800,11500,11450,11550
2014-1-22,11650,11800,11400,11350,11450
2014-1-23,11650,11800,11400,11350,11350
2014-1-24,11600,11600,11400,11350,11350
2014-1-26,11650,11600,11400,11350,11350
2014-2-7,11600,11550,11450,11400,11400
2014-2-10,11600,11500,11400,11350,11400
2014-2-11,11500,11500,11250,11250,11250
2014-2-12,11400,11350,11250,11200,11250
2014-2-13,11250,11300,11250,11200,11250
2014-2-14,11150,11300,11150,11100,11200
2014-2-17,11050,11000,11100,11100,11050
2014-2-18,11000,11000,10950,10900,10950
2014-2-19,10850,10900,10850,10800,10800
2014-2-20,10900,10850,10900,10800,10800
2014-2-21,11100,11000,11150,11100,11050
2014-2-24,11200,11000,11150,11100,11150
2014-2-25,11300,11200,11150,11150,11150
2014-2-26,11300,11200,11200,11100,11100
2014-2-27,11250,11200,11150,11100,11050
2014-2-28,11300,11200,11150,11100,11100
2014-3-3,11250,11200,11150,11100,11100
2014-3-4,11250,11200,11100,11050,11100
2014-3-5,11200,11200,11050,11000,11080
2014-3-6,11150,11100,10900,10850,10900
2014-3-7,11050,11000,10800,10750,10800
2014-3-10,11000,11000,10800,10750,10750
2014-3-11,10850,10900,10700,10650,10650
2014-3-12,10900,10900,10750,10700,10700
2014-3-13,10950,10950,10850,10800,10800
2014-3-14,11050,11000,10950,10850,10850
2014-3-17,11200,11100,11000,10950,10950
2014-3-18,11250,11200,11000,10950,10950
2014-3-19,11250,11200,11000,10950,10950
2014-3-20,11200,11300,11000,10950,10950
2014-3-21,11150,11300,11000,10950,11000
2014-3-24,11150,11300,11000,10950,11000
2014-3-25,11250,11300,11000,10950,11000
2014-3-26,11300,11300,11050,11000,11000
2014-3-27,11400,11350,11050,11000,11100
2014-3-28,11400,11350,11100,11050,11100
2014-3-31,11450,11400,11250,11150,11150
2014-4-2,11550,11500,11400,11300,11250
2014-4-3,11600,11600,11500,11400,11400
2014-4-4,11600,11600,11500,11400,11400
2014-4-8,11650,11650,11450,11350,11400
2014-4-9,11650,11650,11450,11350,11400
2014-4-10,11650,11650,11450,11350,11430
2014-4-11,11650,11650,11400,11300,11400
2014-4-14,11650,11650,11450,11350,11430
2014-4-15,11700,11650,11500,11350,11460
2014-4-17,11850,11800,11650,11600,11650
2014-4-18,11900,11900,11700,11650,11650
2014-4-21,11920,11900,11750,11700,11700
2014-4-22,11950,12000,11800,11750,11700
2014-4-23,12000,12000,11850,11800,11800
2014-4-24,12000,12150,11750,11700,11800
2014-4-25,11950,12150,11800,11750,11800
2014-4-28,11850,12150,11550,11600,11600
2014-4-29,11850,12100,11500,11500,11650
2014-4-30,11850,12100,11650,11650,11650
2014-5-4,11850,12100,11650,11600,11650
2014-5-5,11850,12000,11600,11600,11650
2014-5-6,11900,12000,11750,11650,11650
2014-5-7,11900,12000,11850,11750,11700
2014-5-8,11950,12000,11850,11800,11720
2014-5-9,11900,12000,11800,11800,11700
2014-5-13,11900,12000,11800,11750,11700
2014-5-14,11850,12000,11750,11700,11700
2014-5-15,11800,12000,11750,11700,11650
2014-5-16,11750,12000,11700,11700,11600
2014-5-19,11600,12000,11650,11600,11650
2014-5-20,11650,12000,11650,11600,11550
2014-5-21,11700,12000,11700,11600,11600
2014-5-22,11750,12000,11800,11700,11650
2014-5-23,11750,12000,11800,11700,11750
2014-5-27,11750,12000,11750,11650,11700
2014-5-28,11750,12000,11730,11630,11750
2014-5-29,11750,12000,11700,11600,11700
2014-5-30,11700,12000,11750,11650,11700
2014-6-3,11750,12000,11750,11650,11750
2014-6-4,11800,12100,11900,11750,11800
2014-6-5,11850,12100,11950,11850,11850
2014-6-6,11950,12100,11900,11930,11850
2014-6-9,11900,12100,12000,11950,11850
2014-6-10,11950,12100,12050,12000,11900
2014-6-11,11950,12200,12100,12000,11950
2014-6-12,11950,12200,12100,12000,12000
2014-6-13,11950,12200,12150,12100,12080
2014-6-16,12000,12200,12200,12050,12080
2014-6-18,12000,12200,12350,12050,12050
2014-6-19,11900,12200,12300,12000,12000
2014-6-20,11900,12200,12300,12000,11900
2014-6-23,11900,12200,12250,11950,11950
2014-6-24,11900,12150,12200,11950,11900
2014-6-26,11750,12050,12150,11900,11900
2014-6-27,11750,12050,12150,11900,11950
2014-6-30,11800,12050,12200,12100,12000
2014-7-1,11850,12050,12200,12100,12000
2014-7-2,11900,12050,12200,12100,12050
2014-7-3,11950,12100,12200,12050,12050
2014-7-4,11950,12100,12100,12050,12050
2014-7-7,12000,12150,12200,12100,12100
2014-7-8,12100,12200,12250,12150,12100
2014-7-9,12050,12250,12200,12100,12100
2014-7-10,11950,12250,12200,12100,12050
2014-7-11,11850,12250,12150,12050,12000
2014-7-14,11850,12250,12100,12000,12000
2014-7-15,11850,12250,12050,11950,12000
2014-7-16,11800,12250,12050,12000,12100
2014-7-17,11850,12250,12100,12000,12000
2014-7-21,11700,12100,12050,11900,11900
2014-7-22,11700,12100,11950,11800,11900
